name,linkedin,bio,img
William Kane,https://www.linkedin.com/in/wkane3/,"William Kane is a JD/MBA candidate at Drexel Kline School of Law and LeBow College of Business, and a Member of the [CLTT Student Board](https://drexel.edu/law/academics/centers-and-programs/center-for-law-and-transformational-technology/student-board/).",william-kane.jpg
Eamon Gallagher,https://www.linkedin.com/in/eamongallagher,"Director, Center for Law and Transformation Technology, [Drexel's Kline School of Law](https://drexel.edu/law/); Director, Business and Entrepreneurial Law Program; Director, [Drexel's Entrepreneurial Law Clinic](https://drexel.edu/law/academics/kline-difference/clinics/entrepreneurial-law-clinic/)",eamon-gallagher.jpg
Robert Field,https://www.linkedin.com/in/robert-field-9307a19,"Faculty Director, [Center for Law and Transformational Technology (CLTT)](https://drexel.edu/law/academics/centers-and-programs/center-for-law-and-transformational-technology/); Director, JD/Master of Public Health Program; Professor of Law, Health Management and Policy at the [Dornsife School of Public Health](https://drexel.edu/dornsife/)",robert-field.jpg
Insiyah Jamal,https://www.linkedin.com/in/ijamal/,"Product Analyst; Co-Organizer, [Philadelphia Chapter of LegalHackers.org](https://meetu.ps/c/2kTMY/CT57q/a)",insiyah-jamal.png
Travis Southard,https://travissouthard.com,Developer & Data Analyst at [Community Legal Services](https://clsphila.org/) and Co-Director at [Code for Philly](https://codeforphilly.org/),travis-southard.jpg
Michael Chow,https://www.linkedin.com/in/michael-a-chow,"Builds open source data tools at [Posit, PBC](https://posit.co/). Senior Advisor at [Code for Philly](https://codeforphilly.org/)",michael-chow.jpg
Iliana Miltiadous,https://www.linkedin.com/in/iliana-miltiadous-765109224/,Computer Science Student; [Code for Philly](https://codeforphilly.org/) Leadership Team ,iliana-miltiadous.jpg
Amy Emerson,https://www.linkedin.com/in/amy-emerson-87b2116b,"Assistant Dean for Library and Information Services & Associate Professor of Law, [Villanova University's Charles Widger School of Law](
https://www1.villanova.edu/university/law/faculty-scholarship/faculty-directory/profiles/AmyEmerson.html); Co-Organizer, [Philadelphia Chapter of LegalHackers.org](https://meetu.ps/c/2kTMY/CT57q/a)'",amy-emerson.jpg
Claudia Johnson,https://www.linkedin.com/in/claudia-johnson-5a47656,"[A2J Tech Fellows](https://www.atjtechfellows.org) and, [Future of the Profession Initiative (FPI)](https://www.law.upenn.edu/futureprofessioninitiative/), University of Pennsylvania's Carey School of Law",claudia-johnson.jpg
Lydia Hurtado,https://www.linkedin.com/in/lydiaehurtado/,"Post-Graduate Legal Fellow at [Temple University Institute for Law, Innovation & Technology, Temple University Beasley School of Law](https://law.temple.edu/ilit/)'",lydia-hurtado.jpg
Daniel Sandoval,https://www.linkedin.com/in/d3sandoval,[Seattle Social Justice Hackathon](https://ssjhackathon.devpost.com) & Head of Design at [Stemma.ai](https://www.stemma.ai/about),daniel-sandoval.jpg
Miguel Willis,https://www.linkedin.com/in/miguelhwillis,"Innovator in Residence at the [Future of the Profession Initiative (FPI)](https://www.law.upenn.edu/futureprofessioninitiative/), University of Pennsylvania's Carey School of Law. Concurrently Executive Director of [Access to Justice Tech Fellows (A2J Tech Fellows)](https://www.atjtechfellows.org)",miguel-willis.jpg
Laura Bingham,https://www.linkedin.com/in/laura-bingham/,"Inaugural Exec. Director of [Temple University Institute for Law, Innovation & Technology, Temple University's Beasley School of Law](https://law.temple.edu/ilit/)'",laura-bingham.jpg
Nate Vogel,https://www.linkedin.com/in/nate-vogel-6112a818,"Director of Law and Technology, [Community Legal Services Philadelphia](https://clsphila.org)",nate-vogel.jpg
